;value;words
0;-0.0048;fluechtigkeiten
0;-0.0048;fluechtling
0;-0.0048;fluechtlings
0;-0.0048;fluechtlinge
0;-0.0048;fluechtlinges
0;-0.0048;fluechtlingen
0;-0.4665;frechheit
0;-0.4665;frechheiten
0;-0.469;frust
0;-0.469;frustes
0;-0.469;frusts
0;-0.3354;frustration
0;-0.3354;frustrationen
0;-0.5012;nan
0;-0.3377;faelschung
0;-0.3377;faelschungen
0;-0.0048;gammler
0;-0.0048;gammlers
0;-0.0048;gammlern
0;-0.3375;gangster
0;-0.3375;gangsters
0;-0.3375;gangstern
0;-0.0048;nan
0;-0.4592;gauner
0;-0.4592;gaunern
0;-0.4592;gauners
0;-0.3251;gebrechen
0;-0.3251;gebrechens
0;-0.0571;gedraenge
0;-0.0571;gedraengen
0;-0.0571;gedraenges
0;-1.0;gefahr
0;-1.0;gefahren
0;-0.3373;gefecht
0;-0.3373;gefechten
0;-0.3373;gefechtes
0;-0.3373;gefechte
0;-0.3373;gefechts
0;-0.0048;gefaehrdung
0;-0.0048;gefaehrdungen
0;-0.344;gegner
0;-0.344;gegnern
0;-0.344;gegners
0;-0.0048;geisteskrankheit
0;-0.0048;geisteskrankheiten
0;-0.0048;geistlosigkeit
0;-0.0048;geistlosigkeiten
0;-0.0048;geiz
0;-0.0048;geizen
0;-0.0048;geizes
0;-0.0048;geize
0;-0.0048;geizhals
0;-0.0048;geizhaelsen
0;-0.0048;geizhaelse
0;-0.0048;geizhalse
0;-0.0048;geizhalses
0;-0.0048;geizkragen
0;-0.0048;geizkragens
0;-0.3299;geldstrafe
0;-0.3299;geldstrafen
0;-0.0048;geschmacklosigkeit
0;-0.0048;geschmacklosigkeiten
0;-0.0048;geschaeftsaufloesung
0;-0.0048;geschaeftsaufloesungen
0;-0.0048;gestank
0;-0.0048;gestanks
0;-0.0048;gestankes
0;-0.0048;gestanke
0;-0.5363;gewalt
0;-0.5363;gewalten
0;-0.0048;gewalttaetige
0;-0.0048;gewalttaetigen
0;-0.0048;nan
0;-0.3505;gift
0;-0.3505;gifts
0;-0.3505;giftes
0;-0.3505;giften
0;-0.3505;gifte
0;-0.0048;nan
0;-0.343;nan
0;-0.0048;nan
0;-0.0048;nan
0;-0.3348;grausamkeit
0;-0.3348;grausamkeiten
0;-0.6021;groll
0;-0.6021;grolls
0;-0.6021;grolles
0;-0.0048;groteske
0;-0.0048;grotesken
0;-0.0532;nan
0;-0.0048;nan
0;-0.3174;handgemenge
0;-0.3174;handgemenges
0;-0.3174;handgemengen
0;-0.0426;handicap
0;-0.0426;handicaps
0;-0.0426;handikap
0;-0.0426;handikaps
0;-0.5014;hass
0;-0.5014;hasse
0;-0.5014;hasses
0;-0.0048;heimsuchung
0;-0.0048;heimsuchungen
0;-0.0048;nan
0;-0.0048;hemmung
0;-0.0048;hemmungen
0;-0.0048;herausforderung
0;-0.0048;herausforderungen
0;-0.0048;heuchelei
0;-0.0048;heucheleien
0;-0.3251;heuchler
0;-0.3251;heuchlers
0;-0.3251;heuchlern
0;-0.3394;nan
0;-0.0048;hindernis
0;-0.0048;hinderniss
0;-0.0048;hindernisses
0;-0.0048;hindernissen
0;-0.0048;hindernisse
