id;keyword;context
Protocol_1905_03_31_01;komitee;wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren komitee vermacht aushaendigung testaments verhindert wissenschaftlichhumanitaere
Protocol_1905_03_31_01;komitee;komitee besitz testamentarisch vermachten gabe aushaendigung
Protocol_1905_03_31_01;komitee;fassung strafbar scheuen oeffentlichkeit wissenschaftlichhumanitaeren komitee material liefern schlimm aussehen ziehe
Protocol_1905_03_31_01;komitee;aeussern reichskanzler petition wissenschaftlich humanitaeren komitees zugegangen material akten bearbeitung neuen
Protocol_1905_03_31_01;komitee;strafgesetzes aufgespeichert reichskanzler humanitaeren komitee weite entgegengekommen petitionskommission reichstages petitionskommission
Protocol_1905_03_31_01;komitee;ersuche antrage zuzustimmen petition humanitaerwissenschaftlichen komitees aufhebung paragraf 175 strafgesetzbuchs reichskanzler
Protocol_1905_03_31_01;175;gefoerdert abstimmung petition abaenderung paragraf 175 kommission abstimmungen vornehmen petition beruecksichtigung
Protocol_1905_03_31_01;175;grossen ungerechtigkeiten fuehren aufrechterhaltung 8 175 bereits herbeigefuehrt 8 175 aenderung
Protocol_1905_03_31_01;175;vollzogen wird vollstaendige aufhebung paragraf 175 vollstaendige straffreiheit homosexuelle handlungen gefordert
Protocol_1905_03_31_01;175;gerechtigkeit menschlichkeit jetzige fassung 8 175 reichsstrafgesetzbuchs unvereinbar fortgeschrittenen wissenschaftlichen erkenntnis
Protocol_1905_03_31_01;175;betrachten gruende anerkennt ergebnis gelangen 8175 jetzigen fassung ungerechtigkeit widerspruch darstellt
Protocol_1905_03_31_01;175;beseitigt kommission beseitigung einschraenkung 8 175 alle laster frei walten gemachten
Protocol_1905_03_31_01;175;maennern strafbarkeit unterliegt meineherren paragraf 175 – form vorliegt – 35 jahren strafgesetz
Protocol_1905_03_31_01;175;durchzulesen kommission garnicht plenum paragraf 175 debatte laengere debatte entstanden beweis
Protocol_1905_03_31_01;175;176 166 – gotteslaesterung – tagelang debattiert 175 plenum stillschweigend hinweggegangen alten preussischen
Protocol_1905_03_31_01;175;bemerkbar kommissionsbericht schrecken droht ss 175 gewuenschte einschraenkung angedeihen wahr beseitigung
Protocol_1905_03_31_01;175;gefahr laufen persoenliche schuld naturanlage 175 strafrichter gezogen sehr empfindlich bestraft
Protocol_1905_03_31_01;175;wissen strafgesetz paragraf 175 gefaengnisstrafe erkennt aberkennung buergerlichen ehrenrechte
Protocol_1905_03_31_01;175;zustand 1 million menschen paragraf 175 strafe bedrohen persoenliches verschulden beigemessen
Protocol_1905_03_31_01;175;untersuchung prozentsatz homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher unzucht deutschland bestraft
Protocol_1905_03_31_01;175;unterschiede wiederholt bestrafung gelangenden faelle 175 diejenigen persoenliches verschulden homosexuellen handlungen
Protocol_1905_03_31_01;175;einzelnen oberlandesgerichtsbezirke verurteilungen vergehens ss 175 verteilen verzeichnis vorlesen vorhin hervorhob
Protocol_1905_03_31_01;175;prozesse haengt anstrengung prozessen tz 175 zufaellen – grossstaedten prozesse ursachen anhaengig
Protocol_1905_03_31_01;175;welch ausserordentliches elend gerichtsverhandlungen tz 175 notwendig macht einzelne familien hoffentlich
Protocol_1905_03_31_01;175;gelingt ungluecklichen z175 befreien ausnahmen gerechterweise zugestanden ungluecklichen
Protocol_1905_03_31_01;175;vergnuegen ergreife gelegenheit bett umaenderung 175 mitzuwirken bedenklichkeit prozess erwachsenen schuelers
Protocol_1905_03_31_01;175;bevoelkerung altersstufen geschlechtern berufsarten paragraf 175 gesellschaftlich hochstehenden kreise leiden bestraft
Protocol_1905_03_31_01;175;polizeidirektor aktenmaterial zusammengestellt aufhebung paragraf 175 wesentlichen einschraenkung testamentarisch aufschriften wissenschaftlichhumanitaeren
Protocol_1905_03_31_01;175;homosexuelle neigungen homosexuell betaetigen paragraf 175 strafgesetzbuchs jetzigen fassung strafbar scheuen
Protocol_1905_03_31_01;175;find jetzigen nichtszustande jetzigen fassung paragraph175 schwer leiden aufzutreten weiss ungerecht
Protocol_1905_03_31_01;175;bestraft wofuer mensch verantwortlich paragraf 175 neue strafgesetz erlassen jetzigen fassung
Protocol_1905_03_31_01;175;betaetigung geschlechtslebens anormales recht paragraf 175 jetzigen fassung aufrecht erhalten paragraf
Protocol_1905_03_31_01;175;175 wirkungslos verschwindender bruchteil hierher gehoerigen
Protocol_1905_03_31_01;175;bruchteil einzigen prozents bestrafung gelangt paragraph175 ungerecht frau handlungen strafe laesst
Protocol_1905_03_31_01;175;manne bestraft paragraf 175 unwissenschaftlich voraussetzung sachen wissenschaftlich widerlegt
Protocol_1905_03_31_01;175;kurz gut stichhaltigen beibehaltung paragraf 175 jetzigen fassung spricht bringt petition
Protocol_1905_03_31_01;175;petition humanitaerwissenschaftlichen komitees aufhebung paragraf 175 strafgesetzbuchs reichskanzler beruecksichtigung ueberweisen
Protocol_1905_03_31_01;widernat;vollstaendige beseitigung – petition verlangt lautet widernatuerliche unzucht personen maennlichen geschlechts menschen
Protocol_1905_03_31_01;widernat;petition bestimmung getroffen wissen inhalts widernatuerliche unzucht bestrafen anwendung gewalt personen
Protocol_1905_03_31_01;widernat;homosexuellen – mitgeteilt paragraf 175 reichsstrafgesetzbuchs widernatuerlicher unzucht deutschland bestraft jahre 1900
Protocol_1905_03_31_02;sexu;resultaten gezeitigt wuerdigen beweis geliefert homosexualitaet ausfluss allgemeinen naturgesetzes gut naturgemaess
Protocol_1905_03_31_02;sexu;naturanlage magnus hirschfeld unterscheidet jahrbuch sexuelle zwischenstufen jahrgang meinungen kontraere sexualempfindung
Protocol_1905_03_31_02;sexu;ergebnis gepriesenen wissenschaft hoeren demgegenueber homosexualitaet ueberhaupt male wissenschaftlich aufzurollen bestrebt
Protocol_1905_03_31_02;sexu;degeneration naturwidrigkeit festhalten caspar anschauung homosexualitaet naturgemaess befindet sohin zweifellos widerspruche
Protocol_1905_03_31_02;sexu;alle arzte stimmen ueberein kontraere sexualempfindung krankhafte erscheinung leichteren grades eigentliche
Protocol_1905_03_31_02;sexu;maennlichen weiblichen individuum erscheinung kontraere sexualempfindung behaftete individuum prinzipieller unerregbarkeit geschlecht
Protocol_1905_03_31_02;sexu;moeglichkeit heterosexueller befriedigung besitzt westphal fasst kontraere
Protocol_1905_03_31_02;sexu;sexualempfindung teilerscheinung neuropathischer psychopathischer zustaende zumeist
Protocol_1905_03_31_02;sexu;leidensgenossen ergriffen haelt urningsliebe berechtigt heterosexuelle verlangt – – aufhebung strafbestimmungen staatliche genehmigung
Protocol_1905_03_31_02;sexu;ehen mitgliedern geschlechts heutigen kontraersexual empfindenden maenner unverhaeltnismaessig gross angibt
Protocol_1905_03_31_02;sexu;krafftebing 86xuaeue8 1898 schrift der kontraersexuelle strafrichter 1894 mitgeteilt foermliches system
Protocol_1905_03_31_02;sexu;stoerungen entworfen unterscheidet angeboren erworbener homosexualitaet standpunkt neueren verlassen beweis sicherheit
Protocol_1905_03_31_02;sexu;reizzustaende versetzt reinen faelle – hoche – kontraersexuellen – stoesst angeborenen abnormen triebs allgemeinen
Protocol_1905_03_31_02;sexu;psychiater stimmt ueberein angeborene abnorme sexuelle veranlagung entstehung kontraersexueller neigungen gehirn
Protocol_1905_03_31_02;sexu;besser einzelne leidet gesamtheit gerechtfertigt kontrasexualen arten befriedigung strafe abzuschneiden gesamtheit
Protocol_1905_03_31_02;sexu;einzugehen – huepeden schluffe erwiesen angeborene kontrasexualitaet hauptursache paederastie kontrasexualitaet begruendet straflosigkeit
Protocol_1905_03_31_02;sexu;strenge form kontrasexualitaet laesst gelehrte ursache straflosigkeit – tritt
Protocol_1905_03_31_02;sexu;strafrechtliche verantwortlichkeit angezweifelt raffaelowitsch entwicklung homosexualitaet gerichtssaal band 43 110 tadelt
Protocol_1905_03_31_02;sexu;kontraeren perversen bereitwillig aufnehme meint homosexuellen luegner kindheit sprechen rein waschen
Protocol_1905_03_31_02;sexu;schriften verkehrtheit gelesen literatur jahrbuchs sexuelle zwischenstufen erinnert gewohnheitsdiebe lebenslaenglich verwahren
Protocol_1905_03_31_02;sexu;arbeitshaeuser stecken trunkenbolde trinkerheilanstalten entmuendigen – kontraersexuelle aergernis mitbuerger steten gefahr ansteckung
Protocol_1905_03_31_02;sexu;taetigkeit reichte petition komitee anhaenger kontraersexuellen gerichtliche straflosigkeit soziale freiheit staatliche
Protocol_1905_03_31_02;sexu;anerkennung grunde anschauung homosexualitaet rein natuerliche erscheinung anschauung falsch
Protocol_1905_03_31_02;sexu;angedeutet natur homosexualitaet dienst fortpflanzung erhaltung gestellt erscheint
Protocol_1905_03_31_02;sexu;anschauung komitees unnatuerlich widersprechend bezeichnet homosexualitaet formales gewissen entwicklungsstadien begruendetes anormales
Protocol_1905_03_31_02;sexu;pathologisches humanitaere komitee homosexuelle betaetigung erlaubt erklaert autoren gegangen
Protocol_1905_03_31_02;sexu;komitee stuetzt krafftebing schrift der kontraersexuale strafrichter 1894 hinsichtlich sodomia raiiollc
Protocol_1905_03_31_02;sexu;sexus laster hielt unverschuldetes gebrechen justiz
Protocol_1905_03_31_02;sexu;grausam in gewissen faellen kscllopatllia sexualis 10 auflage 1898 medizinische wissenschaft
Protocol_1905_03_31_02;sexu;rechts) eulenburg realenzyklopaedie bemerkt kontraerer sexualitaet leidenden hoeher geringe beschriebenen faelle
Protocol_1905_03_31_02;sexu;scheusslichkeit – bloch beitraege antiologie ksolloxatliia sexualis 1902 gaenzliche aufhebung paragraf 175
Protocol_1905_03_31_02;sexu;alledem folgendem resultat lehre kontraeren sexualempfindung bestrittene wissenschaftlich begruendet schliesst strafbarkeit
Protocol_1905_03_31_02;sexu;anschauungen schuetzen handlung gefaehrdet trifft homosexuellen handlung zweifellos homosexualitaet blosse unsittlichkeit
Protocol_1905_03_31_02;sexu;feuerbach lehrbuch 14 aust 467 homosexualitaet erschuettert grundlagen staates erschuettert familie
Protocol_1905_03_31_02;sexu;bestrafung wirkt abschreckend verhindert verbreitung homosexualitaet homosexualitaet rueckgang bevoelkerung verursacht raeumen
Protocol_1905_03_31_02;sexu;freunde humanitaeren komitees  hans fischer homosexualitaet psychologische erscheinung berlin 1904 kurnig
Protocol_1905_03_31_02;sexu;der neonihilismus anti  militarismus sexualleben (ende menschheit) leipzig 1901 nennen
