;stopwords;n_of_lexicon_words
837;schreibens;0
838;schreiber;0
839;schreibt;0
845;se;0
846;sechs;0
847;sect;0
848;sehe;0
849;sehen;0
851;sehrwohl;0
852;seht;0
853;sei;0
854;seid;0
855;seiden;0
856;seien;0
857;sein;0
858;seine;0
859;seinem;0
860;seinen;0
861;seiner;0
862;seines;0
863;seit;0
864;seitdem;0
865;seite;0
866;seiten;0
867;seither;0
868;selber;0
869;selbst;0
875;sep;0
876;sept;0
877;september;0
878;ser;0
879;setzen;0
880;setzt;0
881;setzte;0
882;setzten;0
883;sgr;0
884;sich;0
885;sicherlich;0
886;sie;0
887;sieben;0
888;siebte;0
889;siehe;0
890;sieht;0
891;sind;0
892;singen;0
893;singt;0
894;so;0
895;sobald;0
896;sodaß;0
897;soeben;0
898;sofern;0
899;sofort;0
900;sog;0
901;sogar;0
902;solange;0
903;solc hen;0
904;solch;0
905;solche;0
906;solchem;0
907;solchen;0
908;solcher;0
909;solches;0
910;soll;0
911;sollen;0
912;sollst;0
913;sollt;0
914;sollte;0
915;sollten;0
916;solltest;0
917;somit;0
918;sondern;0
919;sonntag;0
920;sonst;0
921;sonstwo;0
922;sooft;0
924;soviel;0
925;soweit;0
926;sowie;0
927;sowohl;0
928;space;0
929;spielen;0
930;spaeter;0
931;st;0
932;stand;0
933;stande;0
934;startet;0
935;startete;0
936;starteten;0
937;statt;0
938;stattdessen;0
939;stehen;0
940;steht;0
941;stellen;0
942;stets;0
943;still;0
944;stille;0
945;straße;0
946;stueck;0
947;sub;0
948;such;0
949;suchen;0
950;summen;0
951;saemmtlich;0
952;saemmtliche;0
953;saemtliche;0
954;t;0
955;tag;0
956;tage;0
957;tagen;0
958;tages;0
959;tagl;0
960;taglich;0
961;tat;0
962;tatsaechlich;0
963;tatsaechlichen;0
964;tatsaechlicher;0
965;tatsaechliches;0
966;tausend;0
967;teile;0
968;teilen;0
969;teilte;0
970;teilten;0
971;ten;0
972;ter;0
973;th;0
974;that;0
975;theil;0
976;theils;0
977;thier;0
978;thiers;0
979;thlr;0
980;thun;0
981;titel;0
982;total;0
983;trage;0
984;tragen;0
985;treten;0
986;trotz;0
987;trotzdem;0
988;trug;0
989;traegt;0
990;tun;0
991;tust;0
992;tut;0
993;txt;0
994;taegl;0
995;taeglich;0
996;taet;0
997;u;0
998;ueber;0
999;uhr;0
1000;um;0
1001;umso;0
1002;un;0
1003;und;0
1004;ungefaehr;0
1010;uns;0
1011;unse;0
1012;unsem;0
1013;unsen;0
1014;unser;0
1015;unsere;0
1016;unserem;0
1017;unseren;0
1018;unserer;0
1019;unseres;0
1020;unserm;0
1021;unses;0
1022;unten;0
1023;unter;0
1026;unterhalb;0
1028;ur;0
1029;usw;0
1030;v;0
1031;ver;0
1032;vergangen;0
1033;vergangene;0
1034;vergangener;0
1035;vergangenes;0
1036;verlangen;0
1037;vermag;0
1038;vermutlich;0
1039;vermoegen;0
1044;version;0
1045;versorge;0
1046;versorgen;0
1047;versorgt;0
1048;versorgte;0
1049;versorgten;0
1050;versorgtes;0
1051;veroeffentlichen;0
1052;veroeffentlicher;0
1053;veroeffentlicht;0
1054;veroeffentlichte;0
1055;veroeffentlichten;0
1056;veroeffentlichtes;0
1057;vi;0
1058;via;0
1059;viel;0
1060;viele;0
1061;vielen;0
1062;vieler;0
1063;vieles;0
1064;vielleicht;0
1065;vielmals;0
1066;vier;0
1067;vii;0
1068;viii;0
1069;vm;0
1070;voll;0
1071;vom;0
1072;von;0
